Algorithm,GraphType,NodeCount,AverageTimeNs,AverageTimeMs,NodesVisited
BFS,SPARSE_RANDOM,100,20041,0.02,100
DFS_ITERATIVE,SPARSE_RANDOM,100,31375,0.0314,100
DFS_RECURSIVE,SPARSE_RANDOM,100,28058,0.0281,100
BFS,SPARSE_RANDOM,500,112891,0.1129,500
DFS_ITERATIVE,SPARSE_RANDOM,500,173125,0.1731,500
DFS_RECURSIVE,SPARSE_RANDOM,500,134366,0.1344,500
BFS,SPARSE_RANDOM,1000,238775,0.2388,1000
DFS_ITERATIVE,SPARSE_RANDOM,1000,367558,0.3676,1000
BFS,SPARSE_RANDOM,2000,650358,0.6504,2000
DFS_ITERATIVE,SPARSE_RANDOM,2000,748258,0.7483,2000
BFS,SPARSE_RANDOM,5000,1352733,1.3527,5000
DFS_ITERATIVE,SPARSE_RANDOM,5000,1989933,1.9899,5000
BFS,SPARSE_RANDOM,10000,2581883,2.5819,10000
DFS_ITERATIVE,SPARSE_RANDOM,10000,3693983,3.694,10000
BFS,DENSE_RANDOM,100,34433,0.0344,100
DFS_ITERATIVE,DENSE_RANDOM,100,79116,0.0791,100
DFS_RECURSIVE,DENSE_RANDOM,100,40675,0.0407,100
BFS,DENSE_RANDOM,500,691983,0.692,500
DFS_ITERATIVE,DENSE_RANDOM,500,1769075,1.7691,500
DFS_RECURSIVE,DENSE_RANDOM,500,716683,0.7167,500
BFS,DENSE_RANDOM,1000,2817108,2.8171,1000
DFS_ITERATIVE,DENSE_RANDOM,1000,7132949,7.1329,1000
BFS,DENSE_RANDOM,2000,11424383,11.4244,2000
DFS_ITERATIVE,DENSE_RANDOM,2000,29428316,29.4283,2000
BFS,DENSE_RANDOM,5000,76698283,76.6983,5000
DFS_ITERATIVE,DENSE_RANDOM,5000,188183425,188.1834,5000
BFS,DENSE_RANDOM,10000,328596850,328.5969,10000
DFS_ITERATIVE,DENSE_RANDOM,10000,1200757183,1200.7572,10000
BFS,TREE,100,214300,0.2143,100
DFS_ITERATIVE,TREE,100,27849,0.0278,100
DFS_RECURSIVE,TREE,100,32083,0.0321,100
BFS,TREE,500,96383,0.0964,500
DFS_ITERATIVE,TREE,500,120174,0.1202,500
DFS_RECURSIVE,TREE,500,93783,0.0938,500
BFS,TREE,1000,190491,0.1905,1000
DFS_ITERATIVE,TREE,1000,250917,0.2509,1000
BFS,TREE,2000,409608,0.4096,2000
DFS_ITERATIVE,TREE,2000,511075,0.5111,2000
BFS,TREE,5000,998758,0.9988,5000
DFS_ITERATIVE,TREE,5000,1385024,1.385,5000
BFS,TREE,10000,1981250,1.9812,10000
DFS_ITERATIVE,TREE,10000,2561016,2.561,10000
BFS,PATH,100,17991,0.018,100
DFS_ITERATIVE,PATH,100,22200,0.0222,100
DFS_RECURSIVE,PATH,100,22716,0.0227,100
BFS,PATH,500,85950,0.0859,500
DFS_ITERATIVE,PATH,500,114033,0.114,500
DFS_RECURSIVE,PATH,500,126541,0.1265,500
BFS,PATH,1000,175966,0.176,1000
DFS_ITERATIVE,PATH,1000,227024,0.227,1000
BFS,PATH,2000,358633,0.3586,2000
DFS_ITERATIVE,PATH,2000,472858,0.4729,2000
BFS,PATH,5000,905091,0.9051,5000
DFS_ITERATIVE,PATH,5000,1183175,1.1832,5000
BFS,PATH,10000,1803833,1.8038,10000
DFS_ITERATIVE,PATH,10000,2353733,2.3537,10000
BFS,CYCLE,100,18292,0.0183,100
DFS_ITERATIVE,CYCLE,100,23316,0.0233,100
DFS_RECURSIVE,CYCLE,100,20208,0.0202,100
BFS,CYCLE,500,90424,0.0904,500
DFS_ITERATIVE,CYCLE,500,116583,0.1166,500
DFS_RECURSIVE,CYCLE,500,112191,0.1122,500
BFS,CYCLE,1000,179966,0.18,1000
DFS_ITERATIVE,CYCLE,1000,240233,0.2402,1000
BFS,CYCLE,2000,366000,0.366,2000
DFS_ITERATIVE,CYCLE,2000,473808,0.4738,2000
BFS,CYCLE,5000,935225,0.9352,5000
DFS_ITERATIVE,CYCLE,5000,1178891,1.1789,5000
BFS,CYCLE,10000,1961683,1.9617,10000
DFS_ITERATIVE,CYCLE,10000,2364358,2.3644,10000
BFS,GRID,100,19883,0.0199,100
DFS_ITERATIVE,GRID,100,32875,0.0329,100
DFS_RECURSIVE,GRID,100,22774,0.0228,100
BFS,GRID,484,102366,0.1024,484
DFS_ITERATIVE,GRID,484,215766,0.2158,484
DFS_RECURSIVE,GRID,484,130975,0.131,484
BFS,GRID,961,209075,0.2091,961
DFS_ITERATIVE,GRID,961,314241,0.3142,961
BFS,GRID,1936,439049,0.439,1936
DFS_ITERATIVE,GRID,1936,646099,0.6461,1936
BFS,GRID,4900,1097358,1.0974,4900
DFS_ITERATIVE,GRID,4900,1610899,1.6109,4900
BFS,GRID,10000,2287967,2.288,10000
DFS_ITERATIVE,GRID,10000,3393991,3.394,10000
